UDI,Product ID,Air_Temperature_K,Process_Temperature_K,Rotation_Speed_RPM,Torque_Nm,Tool_Wear_min,Failure,TWF,HDF,PWF,OSF,RNF,Temp_Diff,Tool_Wear_rate,Machine_Type_H,Machine_Type_L,Machine_Type_M
59,M14918,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0.0975315487468099,False,False,True
60,L47239,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0.11973866492114302,False,True,False
61,L47240,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0.11988505392314866,False,True,False
62,M14921,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0.10615571221374862,False,False,True
63,L47242,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0.09404040785106187,False,True,False
64,M14923,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,0.09602643707150273,False,False,True
65,L47244,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,0.11621791449907125,False,True,False
66,L47245,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,0.12840736843086914,False,True,False
67,M14926,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0.10780219904574208,False,False,True
68,H29481,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0.12551151056513604,True,False,False
69,L47248,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0.12377202110542168,False,True,False
70,L47249,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,0.13546089683624338,False,True,False
71,M14930,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,0.10031179817474108,False,False,True
72,L47251,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,0.13498613292966052,False,True,False
73,L47252,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,0.14463101195689412,False,True,False
74,L47253,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,0.12562806179141847,False,True,False
75,L47254,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,0.1261710642279424,False,True,False
76,L47255,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0.14793317771343167,False,True,False
77,L47256,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0.14099921902859752,False,True,False
78,L47257,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,0.14295522820946516,False,True,False
79,L47258,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0.0,False,True,False
80,L47259,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0.001426532506039582,False,True,False
81,H29494,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0.0027681641742808485,True,False,False
82,L47261,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0.006206892271108779,False,True,False
83,L47262,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0.007570538492402965,False,True,False
84,L47263,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0.008849551497922738,False,True,False
85,L47264,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0.010548515788666816,False,True,False
86,M14945,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0.009423498102273779,False,False,True
87,H29500,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0.013927566902808563,True,False,False
88,L47267,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0.01619169935770767,False,True,False
89,M14948,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0.01902747073469293,False,False,True
90,M14949,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0.020174835121159973,False,False,True
91,L47270,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0.01882486090994814,False,True,False
92,L47271,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0.019125672608922072,False,True,False
93,M14952,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,0.02142442303160218,False,False,True
94,L47273,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,0.027586187871594572,False,True,False
95,L47274,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,0.02589394211224284,False,True,False
96,M14955,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,0.03256844369471229,False,False,True
97,M14956,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,0.029841250894443876,False,False,True
98,M14957,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,0.02857141224490729,False,False,True
99,L47278,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,0.03466315587759589,False,True,False
100,L47279,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,0.036112911285022135,False,True,False
101,L47280,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,0.03077752117844429,False,True,False
102,L47281,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,0.02963333519169503,False,True,False
103,L47282,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,0.03922827059275203,False,True,False
104,M14963,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,0.04371960879971631,False,False,True
105,L47284,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,0.045517209988131045,False,True,False
106,L47285,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,0.042740387969586444,False,True,False
107,L47286,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,0.04844287304991485,False,True,False
108,M14967,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,0.04809616025640597,False,False,True
109,H29522,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,0.046267707422759145,True,False,False
110,L47289,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,0.05089055286860505,False,True,False
111,L47290,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,0.043803395404169124,False,True,False
112,H29525,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,0.05603732085568989,True,False,False
113,M14972,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,0.059412510405533775,False,False,True
114,M14973,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,0.061911129265727276,False,False,True
115,L47294,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,0.05654758538834203,False,True,False
116,L47295,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,0.0677847185291974,False,True,False
117,L47296,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,0.06329919226394357,False,True,False
118,L47297,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,0.06316443829616117,False,True,False
119,M14978,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,0.060339742038815446,False,False,True
120,L47299,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,0.07225625613070476,False,True,False
121,L47300,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,0.07536631167738195,False,True,False
122,L47301,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,0.07060329229570456,False,True,False
123,L47302,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,0.0854961179418947,False,True,False
124,L47303,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,0.07373863276931904,False,True,False
125,L47304,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,0.0671684613963744,False,True,False
126,L47305,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,0.07564097715321977,False,True,False
127,L47306,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,0.09029338578375788,False,True,False
128,L47307,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,0.08634105708346987,False,True,False
129,L47308,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,0.07813479638639169,False,True,False
130,L47309,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,0.08082098728608898,False,True,False
131,L47310,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,0.08689742912598158,False,True,False
132,L47311,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,0.07484163797257457,False,True,False
133,M14992,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,0.09160298986607227,False,False,True
134,M14993,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,0.09440552838774238,False,False,True
135,L47314,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,0.10080343257601711,False,True,False
136,M14995,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,0.0818234472101419,False,False,True
137,H29550,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,0.10070415443369406,True,False,False
138,L47317,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,0.11410939544379689,False,True,False
139,H29552,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,0.1035195972949639,True,False,False
140,L47319,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,0.12223965123055897,False,True,False
141,L47320,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,0.10390463010944401,False,True,False
142,L47321,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,0.10297920791502078,False,True,False
143,M15002,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,0.09055113017371756,False,False,True
144,H29557,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,0.11655997401565457,True,False,False
145,M15004,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,0.1214952397589937,False,False,True
146,L47325,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,0.11368135249084435,False,True,False
147,H29560,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,0.10794037968959076,True,False,False
148,L47327,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,0.11815173719357282,False,True,False
149,M15008,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,0.1312544370888781,False,False,True
150,L47329,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,0.12491505436859852,False,True,False
151,L47330,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,0.1308015957794685,False,True,False
152,M15011,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,0.1285029880362351,False,False,True
153,M15012,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,0.12058073195660861,False,False,True
154,L47333,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,0.10486480818118477,False,True,False
155,L47334,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,0.12827216736114702,False,True,False
156,H29569,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,0.09964765996594868,True,False,False
157,M15016,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,0.13578586235059376,False,False,True
158,H29571,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,0.13937744291106705,True,False,False
159,M15018,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,0.14076041310179246,False,False,True
160,L47339,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,0.14547916690743243,False,True,False
161,L47340,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,0.1684866080447675,False,True,False
162,L47341,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,0.15439082550224822,False,True,False
163,L47342,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0.0,False,True,False
164,M15023,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,0.0013623968921002098,False,False,True
165,M15024,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,0.003472219810958465,False,False,True
166,L47345,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,0.004616269696324469,False,True,False
167,H29580,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0.006203470097102918,True,False,False
168,H29581,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0.010288058787339653,True,False,False
169,L47348,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,0.01395672438470036,False,True,False
170,L47349,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,0.016691944846779327,False,True,False
171,M15030,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,0.014906823039240348,False,False,True
172,L47351,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,0.018467839625280695,False,True,False
173,M15032,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,0.015072757238691665,False,False,True
174,M15033,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,0.02011312375039362,False,False,True
175,L47354,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,0.026799366922383674,False,True,False
176,L47355,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,0.026772773681061013,False,True,False
177,L47356,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,0.024103816993932638,False,True,False
178,L47357,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,0.020623732080617668,False,True,False
179,L47358,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,0.029944268841038412,False,True,False
180,L47359,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,0.03450917598989572,False,True,False
181,L47360,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,0.03186438517668801,False,True,False
182,H29595,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,0.02686402035963796,True,False,False
183,M15042,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,0.040238420090596055,False,False,True
184,L47363,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,0.038383812536153174,False,True,False
185,L47364,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,0.035392900184223045,False,True,False
186,L47365,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,0.042185309692040325,False,True,False
187,L47366,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,0.048424251787661965,False,True,False
188,L47367,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,0.0471355713302601,False,True,False
189,L47368,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,0.04171852944051716,False,True,False
190,M15049,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,0.0448342788601177,False,False,True
191,L47370,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,0.04874742806538384,False,True,False
192,L47371,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,0.04441774044553395,False,True,False
193,H29606,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,0.05436333736528086,True,False,False
194,H29607,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,0.048271723318400885,True,False,False
195,M15054,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,0.03211350555881047,False,False,True
196,L47375,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,0.06125253871126035,False,True,False
197,H29610,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,0.06354744165681449,True,False,False
198,M15057,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,0.06286832818053165,False,False,True
199,L47378,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,0.062342530011001256,False,True,False
200,L47379,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,0.07048145814273682,False,True,False
201,L47380,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,0.06401487631145039,False,True,False
202,L47381,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,0.06666662433865121,False,True,False
203,M15062,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,0.06540338300526712,False,False,True
204,L47383,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,0.07382545380842026,False,True,False
205,L47384,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,0.06433080739183952,False,True,False
206,M15065,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,0.08482136546029356,False,False,True
207,L47386,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,0.07271592746057957,False,True,False
208,M15067,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,0.08374378343153875,False,False,True
209,L47388,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,0.07668128429837567,False,True,False
210,L47389,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,0.08395390389038329,False,True,False
211,L47390,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,0.08273139676205071,False,True,False
212,L47391,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,0.08126978966997482,False,True,False
213,H29626,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,0.0967261185073523,True,False,False
214,L47393,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,0.0974025271266038,False,True,False
215,M15074,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,0.08621769275160934,False,False,True
216,L47395,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,0.09043921806252063,False,True,False
217,L47396,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,0.09472975668461862,False,True,False
218,L47397,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,0.08653840953220582,False,True,False
219,L47398,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,0.10089834077516187,False,True,False
220,M15079,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,0.1032077383488575,False,False,True
221,L47400,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,0.10663834276953195,False,True,False
222,H29635,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,0.08374379652775231,True,False,False
223,L47402,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,0.12116555125341162,False,True,False
224,L47403,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,0.10197571575798868,False,True,False
225,L47404,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,0.10227266270665233,False,True,False
226,L47405,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,0.12041107165119556,False,True,False
227,L47406,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,0.12490585033419839,False,True,False
228,L47407,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,0.10916172244202571,False,True,False
229,M15088,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,0.10435843808567337,False,False,True
230,L47409,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,0.11248367198720938,False,True,False
231,L47410,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,0.11146489715611646,False,True,False
232,L47411,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,0.1257101379899588,False,True,False
233,L47412,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,0.12570215891702324,False,True,False
234,L47413,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,0.11970891553643152,False,True,False
235,L47414,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,0.12381588375109354,False,True,False
236,M15095,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,0.11011898207203448,False,False,True
237,L47416,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,0.12575242424587008,False,True,False
238,M15097,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,0.1224226015318289,False,False,True
239,L47418,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.200000000000045,0.13854979285729155,False,True,False
